thing_id,stationID,stationName,city,township,areaType,areaDescription,isOutdoor,isMobile,projectName,latitude,longitude,coordinate_crs,pm25_datastream_id,latest_pm25_value,latest_observation_phenomenon_time,freshness_status,observation_age_minutes,valid_coordinate,valid_pm25,future_timestamp,bbox_status
3265,650000000005,智慧城鄉空品微型感測器-650000000005,新北市,三重區,,,,,,25.075459,121.48765,EPSG:4326,9793,5.83,2026-09-02T10:58:09Z,fresh,4.53,True,True,False,inside_bbox
3266,650000000006,智慧城鄉空品微型感測器-650000000006,新北市,三重區,,,,,,25.076925,121.48098,EPSG:4326,9796,5.97,2026-09-02T10:56:59Z,fresh,5.7,True,True,False,inside_bbox
3267,650000000007,智慧城鄉空品微型感測器-650000000007,新北市,三重區,,,,,,25.069572,121.48357,EPSG:4326,9799,5.86,2026-09-02T10:58:31Z,fresh,4.16,True,True,False,inside_bbox
3268,650000000008,智慧城鄉空品微型感測器-650000000008,新北市,中和區,,,,,,25.003355,121.46873,EPSG:4326,9802,5.79,2026-09-02T10:58:36Z,fresh,4.08,True,True,False,inside_bbox
3270,650000000010,智慧城鄉空品微型感測器-650000000010,新北市,中和區,,,,,,25.003181,121.50614,EPSG:4326,9808,5.73,2026-09-02T10:56:16Z,fresh,6.41,True,True,False,inside_bbox
3274,650000000014,智慧城鄉空品微型感測器-650000000014,新北市,中和區,,,,,,25.001646,121.48056,EPSG:4326,9820,5.98,2026-09-02T10:58:32Z,fresh,4.15,True,True,False,inside_bbox
3276,650000000016,智慧城鄉空品微型感測器-650000000016,新北市,永和區,,,,,,25.015667,121.51156,EPSG:4326,9826,5.8,2026-09-02T10:09:48Z,offline,52.88,True,True,False,inside_bbox
3278,650000000018,智慧城鄉空品微型感測器-650000000018,新北市,永和區,,,,,,25.004581,121.519745,EPSG:4326,9832,5.73,2026-09-02T10:58:12Z,fresh,4.48,True,True,False,inside_bbox
3280,650000000020,智慧城鄉空品微型感測器-650000000020,新北市,永和區,,,,,,25.000319,121.51893,EPSG:4326,9838,5.66,2026-09-02T10:56:31Z,fresh,6.16,True,True,False,inside_bbox
3282,650000000022,智慧城鄉空品微型感測器-650000000022,新北市,板橋區,,,,,,25.027111,121.48107,EPSG:4326,9844,5.88,2026-09-02T10:58:01Z,fresh,4.66,True,True,False,inside_bbox
3283,650000000023,智慧城鄉空品微型感測器-650000000023,新北市,板橋區,,,,,,25.029333,121.47784,EPSG:4326,9847,5.81,2026-09-02T10:57:26Z,fresh,5.25,True,True,False,inside_bbox
